measure_date,station,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
2019-04-15,WE2,0.018,0.157,0.001,0.011,0.008,0.142,0.146,0.151,0.146,0.093,0.09,0.076,0.058
2019-05-05,WE2,0.01,0.141,0.001,0.006,0.004,0.125,0.128,0.113,0.095,0.047,0.044,0.035,0.026
2019-05-15,WE2,0.01,0.153,0.001,0.005,0.004,0.136,0.139,0.127,0.108,0.055,0.052,0.041,0.032
2019-05-25,WE2,0.021,0.164,0.007,0.038,0.03,0.167,0.156,0.134,0.112,0.076,0.076,0.086,0.063
2019-05-30,WE2,0.072,0.251,0.003,0.154,0.159,0.216,0.21,0.209,0.198,0.169,0.177,0.147,0.168
2019-06-29,WE2,0.018,0.151,0.008,0.038,0.028,0.126,0.114,0.086,0.083,0.065,0.066,0.058,0.058
2019-07-04,WE2,0.007,0.151,0.001,0.019,0.011,0.121,0.099,0.068,0.057,0.046,0.046,0.037,0.038
2019-07-09,WE2,0.02,0.146,0.005,0.025,0.018,0.123,0.111,0.079,0.072,0.054,0.052,0.047,0.045
2019-07-14,WE2,0.008,0.124,0.001,0.011,0.008,0.099,0.089,0.053,0.054,0.035,0.034,0.029,0.025
2019-07-24,WE2,0.011,0.132,0.001,0.013,0.009,0.108,0.098,0.058,0.063,0.044,0.043,0.036,0.033
2019-08-03,WE2,0.013,0.136,0.001,0.01,0.006,0.113,0.106,0.063,0.079,0.056,0.055,0.045,0.043
2019-08-08,WE2,0.01,0.14,0.001,0.022,0.017,0.118,0.112,0.071,0.072,0.05,0.05,0.043,0.041
2019-08-23,WE2,0.009,0.133,0.001,0.007,0.005,0.111,0.108,0.069,0.085,0.048,0.048,0.038,0.032
2019-08-28,WE2,0.009,0.136,0.001,0.011,0.008,0.117,0.112,0.073,0.076,0.045,0.044,0.036,0.032
2019-09-02,WE2,0.006,0.14,0.001,0.006,0.003,0.121,0.121,0.08,0.091,0.052,0.051,0.039,0.033
2019-09-07,WE2,0.011,0.139,0.003,0.011,0.008,0.112,0.101,0.064,0.064,0.043,0.04,0.033,0.031
2019-09-17,WE2,0.077,0.299,0.005,0.222,0.193,0.275,0.255,0.242,0.23,0.222,0.23,0.209,0.226
2019-09-22,WE2,0.005,0.14,0.001,0.008,0.005,0.118,0.106,0.067,0.053,0.034,0.033,0.027,0.026
2019-10-12,WE2,0.016,0.161,0.003,0.024,0.012,0.155,0.143,0.109,0.092,0.052,0.05,0.057,0.035
2019-10-17,WE2,0.016,0.146,0.002,0.016,0.016,0.127,0.104,0.067,0.056,0.038,0.038,0.039,0.031
2019-11-16,WE2,0.076,0.261,0.002,0.188,0.209,0.235,0.205,0.202,0.196,0.18,0.185,0.173,0.182
2019-11-26,WE2,0.033,0.198,0.002,0.063,0.059,0.162,0.117,0.083,0.08,0.074,0.075,0.059,0.068
2020-03-05,WE2,0.007,0.141,0.001,0.004,0.002,0.115,0.092,0.041,0.031,0.022,0.02,0.016,0.014
2020-03-15,WE2,0.008,0.153,0.001,0.003,0.002,0.135,0.137,0.12,0.101,0.051,0.045,0.036,0.027
2020-03-25,WE2,0.01,0.17,0.001,0.004,0.003,0.152,0.155,0.155,0.143,0.081,0.075,0.06,0.046
2020-04-09,WE2,0.017,0.185,0.002,0.012,0.009,0.164,0.164,0.159,0.142,0.079,0.074,0.061,0.048
2020-04-24,WE2,0.01,0.169,0.001,0.007,0.004,0.151,0.148,0.113,0.094,0.051,0.047,0.038,0.032
2020-05-04,WE2,0.063,0.203,0.003,0.121,0.095,0.183,0.172,0.143,0.135,0.117,0.117,0.11,0.113
2020-05-24,WE2,0.012,0.149,0.004,0.017,0.011,0.135,0.135,0.142,0.13,0.083,0.084,0.068,0.057
2020-06-08,WE2,0.007,0.141,0.001,0.012,0.01,0.126,0.122,0.086,0.066,0.038,0.037,0.031,0.028
2020-06-13,WE2,0.016,0.154,0.001,0.026,0.021,0.14,0.142,0.129,0.114,0.068,0.067,0.058,0.051
2020-06-18,WE2,0.01,0.161,0.001,0.023,0.018,0.149,0.15,0.124,0.104,0.059,0.059,0.049,0.045
2020-07-03,WE2,0.006,0.129,0.001,0.005,0.003,0.1,0.08,0.041,0.033,0.025,0.023,0.019,0.017
2020-07-08,WE2,0.006,0.14,0.001,0.007,0.004,0.113,0.089,0.046,0.036,0.03,0.028,0.022,0.022
2020-07-13,WE2,0.007,0.126,0.001,0.004,0.002,0.096,0.078,0.039,0.033,0.024,0.022,0.017,0.016
2020-07-23,WE2,0.017,0.169,0.001,0.046,0.039,0.137,0.117,0.082,0.073,0.066,0.07,0.056,0.064
2020-07-28,WE2,0.01,0.129,0.001,0.016,0.013,0.105,0.095,0.055,0.052,0.037,0.036,0.031,0.03
2020-08-07,WE2,0.009,0.135,0.001,0.007,0.004,0.108,0.095,0.051,0.046,0.031,0.029,0.023,0.021
2020-08-22,WE2,0.008,0.128,0.001,0.006,0.003,0.103,0.099,0.051,0.053,0.037,0.036,0.028,0.027
2020-08-27,WE2,0.009,0.142,0.001,0.013,0.008,0.117,0.112,0.067,0.075,0.049,0.05,0.04,0.038
2015-08-04,WE8,0.01,0.127,0.001,0.014,0.011,0.102,0.095,0.06,0.081,0.052,0.052,0.041,0.037
2015-10-23,WE8,0.008,0.152,0.003,0.006,0.004,0.129,0.109,0.068,0.053,0.032,0.03,0.025,0.022
2016-06-29,WE8,0.016,0.129,0.001,0.027,0.022,0.104,0.083,0.053,0.048,0.043,0.042,0.036,0.039
2016-07-19,WE8,0.009,0.134,0.001,0.013,0.011,0.109,0.102,0.056,0.061,0.042,0.042,0.034,0.034
2016-08-08,WE8,0.009,0.121,0.001,0.011,0.009,0.1,0.098,0.056,0.064,0.037,0.037,0.028,0.026
2016-10-07,WE8,0.005,0.146,0.001,0.004,0.001,0.127,0.116,0.07,0.056,0.031,0.029,0.023,0.02
2017-03-16,WE8,0.01,0.161,0.001,0.004,0.003,0.142,0.133,0.11,0.093,0.048,0.043,0.035,0.027
2017-05-15,WE8,0.009,0.124,0.001,0.012,0.009,0.102,0.093,0.056,0.048,0.031,0.03,0.024,0.023
2017-06-24,WE8,0.016,0.14,0.001,0.036,0.029,0.112,0.094,0.063,0.056,0.051,0.051,0.042,0.047
2017-07-09,WE8,0.01,0.126,0.001,0.019,0.016,0.1,0.08,0.049,0.041,0.037,0.036,0.031,0.033
2017-07-14,WE8,0.011,0.142,0.001,0.021,0.017,0.11,0.086,0.058,0.049,0.045,0.043,0.035,0.037
2017-07-29,WE8,0.009,0.124,0.001,0.014,0.012,0.1,0.09,0.063,0.068,0.044,0.044,0.036,0.033
2017-08-03,WE8,0.011,0.152,0.003,0.016,0.009,0.123,0.106,0.074,0.071,0.055,0.052,0.044,0.043
2017-08-18,WE8,0.047,0.252,0.001,0.16,0.124,0.241,0.216,0.196,0.194,0.186,0.196,0.175,0.189
2017-08-23,WE8,0.011,0.139,0.001,0.022,0.017,0.118,0.115,0.073,0.086,0.055,0.054,0.047,0.044
2017-10-02,WE8,0.013,0.138,0.006,0.011,0.008,0.119,0.123,0.07,0.071,0.041,0.04,0.033,0.029
2017-10-17,WE8,0.007,0.136,0.001,0.005,0.003,0.116,0.107,0.062,0.06,0.033,0.031,0.025,0.022
2017-10-22,WE8,0.007,0.138,0.002,0.006,0.003,0.113,0.097,0.048,0.043,0.027,0.026,0.021,0.018
2017-11-06,WE8,0.009,0.165,0.001,0.005,0.003,0.138,0.113,0.064,0.05,0.033,0.029,0.024,0.023
2017-11-26,WE8,0.013,0.172,0.001,0.003,0.002,0.156,0.155,0.17,0.168,0.122,0.116,0.096,0.077
2018-03-01,WE8,0.651,0.963,0.228,0.262,0.276,0.941,0.871,0.925,0.936,0.944,0.955,0.928,0.944
2018-03-06,WE8,0.012,0.162,0.001,0.005,0.003,0.144,0.142,0.145,0.138,0.087,0.08,0.065,0.051
2018-03-11,WE8,0.007,0.138,0.001,0.002,0.001,0.117,0.101,0.054,0.04,0.023,0.021,0.017,0.015
2018-03-16,WE8,0.007,0.133,0.001,0.003,0.002,0.113,0.1,0.058,0.043,0.024,0.021,0.017,0.014
2018-03-26,WE8,0.011,0.151,0.001,0.007,0.005,0.134,0.129,0.117,0.105,0.06,0.055,0.045,0.035
2018-04-05,WE8,0.037,0.17,0.01,0.097,0.059,0.2,0.177,0.137,0.122,0.103,0.094,0.119,0.08
2018-04-20,WE8,0.013,0.148,0.001,0.01,0.008,0.134,0.135,0.113,0.094,0.048,0.044,0.037,0.031
2018-04-30,WE8,0.01,0.124,0.002,0.006,0.004,0.099,0.081,0.044,0.035,0.024,0.023,0.019,0.017
2018-05-25,WE8,0.006,0.119,0.001,0.004,0.003,0.095,0.088,0.054,0.061,0.032,0.03,0.024,0.02
2018-06-04,WE8,0.016,0.131,0.001,0.032,0.027,0.108,0.092,0.066,0.057,0.049,0.049,0.042,0.043
2018-06-14,WE8,0.016,0.141,0.002,0.037,0.03,0.117,0.105,0.071,0.064,0.055,0.055,0.048,0.052
2018-06-24,WE8,0.008,0.162,0.001,0.016,0.013,0.131,0.109,0.075,0.059,0.041,0.041,0.033,0.032
2018-06-29,WE8,0.01,0.147,0.001,0.026,0.019,0.124,0.118,0.076,0.074,0.054,0.055,0.044,0.044
2018-07-04,WE8,0.005,0.121,0.001,0.008,0.005,0.09,0.07,0.04,0.033,0.026,0.026,0.02,0.021
2018-07-09,WE8,0.01,0.13,0,0.016,0.016,0.107,0.094,0.058,0.05,0.037,0.036,0.029,0.03
2018-07-14,WE8,0.082,0.228,0.007,0.087,0.102,0.196,0.149,0.114,0.111,0.106,0.118,0.12,0.13
2018-07-19,WE8,0.023,0.143,0.007,0.038,0.035,0.118,0.106,0.076,0.073,0.062,0.063,0.055,0.06
2018-08-03,WE8,0.008,0.145,0.001,0.016,0.011,0.119,0.105,0.063,0.057,0.043,0.043,0.035,0.036
2018-08-08,WE8,0.015,0.177,0.002,0.034,0.026,0.152,0.138,0.089,0.078,0.065,0.065,0.058,0.057
2018-08-13,WE8,0.007,0.135,0.001,0.007,0.004,0.11,0.098,0.053,0.046,0.034,0.033,0.026,0.026
2018-08-18,WE8,0.011,0.159,0.001,0.012,0.006,0.131,0.113,0.072,0.065,0.053,0.052,0.042,0.043
